protein,elastic_network,time_ps,rmsd_nm
alphasynuclein,True,690000.0,3.8992307
alphasynuclein,True,700000.0,3.987195
alphasynuclein,True,710000.0,3.3769827
alphasynuclein,True,720000.0,3.3204393
alphasynuclein,True,730000.0,3.1159141
alphasynuclein,True,740000.0,2.9612544
alphasynuclein,True,750000.0,2.8443809
alphasynuclein,True,760000.0,2.7746279
alphasynuclein,True,770000.0,3.3057456
alphasynuclein,True,780000.0,3.5982816
alphasynuclein,True,790000.0,3.1716101
alphasynuclein,True,800000.0,3.2208021
alphasynuclein,True,810000.0,3.6191173
alphasynuclein,True,820000.0,3.0694227
alphasynuclein,True,830000.0,2.8839543
alphasynuclein,True,840000.0,3.0816855
alphasynuclein,True,850000.0,3.4890985
alphasynuclein,True,860000.0,3.1719
alphasynuclein,True,870000.0,2.6593039
alphasynuclein,True,880000.0,2.9178033
alphasynuclein,True,890000.0,2.4648104
alphasynuclein,True,900000.0,2.5277793
alphasynuclein,True,910000.0,2.6390584
alphasynuclein,True,920000.0,2.7878287
alphasynuclein,True,930000.0,2.5514293
alphasynuclein,True,940000.0,2.4229126
alphasynuclein,True,950000.0,2.6896622
alphasynuclein,True,960000.0,2.554193
alphasynuclein,True,970000.0,2.6351001
alphasynuclein,True,980000.0,2.6234646
alphasynuclein,True,990000.0,1.9919862
alphasynuclein,True,1000000.0,2.8097692
alphasynuclein,False,0.0,0.0049917
alphasynuclein,False,10000.0,1.4981315
alphasynuclein,False,20000.0,3.1555684
alphasynuclein,False,30000.0,2.3693364
alphasynuclein,False,40000.0,1.9076636
alphasynuclein,False,50000.0,3.0993142
alphasynuclein,False,60000.0,2.3358471
alphasynuclein,False,70000.0,1.6222274
alphasynuclein,False,80000.0,2.3081625
alphasynuclein,False,90000.0,3.3481431
alphasynuclein,False,100000.0,3.5758815
alphasynuclein,False,110000.0,4.1871367
alphasynuclein,False,120000.0,4.2317586
alphasynuclein,False,130000.0,3.7364252
alphasynuclein,False,140000.0,3.16608
alphasynuclein,False,150000.0,3.2026744
alphasynuclein,False,160000.0,2.4298255
alphasynuclein,False,170000.0,2.6678176
alphasynuclein,False,180000.0,2.2165365
alphasynuclein,False,190000.0,2.6524115
alphasynuclein,False,200000.0,2.7588615
alphasynuclein,False,210000.0,2.9628751
alphasynuclein,False,220000.0,2.4078281
alphasynuclein,False,230000.0,2.6854765
alphasynuclein,False,240000.0,2.6633139
alphasynuclein,False,250000.0,3.0773115
alphasynuclein,False,260000.0,2.9611466
alphasynuclein,False,270000.0,2.6929812
alphasynuclein,False,280000.0,2.9030817
alphasynuclein,False,290000.0,2.7989719
alphasynuclein,False,300000.0,2.5482013
alphasynuclein,False,310000.0,2.6884396
alphasynuclein,False,320000.0,2.9420218
alphasynuclein,False,330000.0,2.2456539
alphasynuclein,False,340000.0,2.230118
alphasynuclein,False,350000.0,1.7408998
alphasynuclein,False,360000.0,2.7247703
alphasynuclein,False,370000.0,2.8318071
alphasynuclein,False,380000.0,2.3957217
alphasynuclein,False,390000.0,2.6214428
alphasynuclein,False,400000.0,3.1264017
alphasynuclein,False,410000.0,2.6833537
alphasynuclein,False,420000.0,2.4922898
alphasynuclein,False,430000.0,2.3251083
alphasynuclein,False,440000.0,1.8854735
alphasynuclein,False,450000.0,2.2691622
alphasynuclein,False,460000.0,3.000952
alphasynuclein,False,470000.0,2.4426625
alphasynuclein,False,480000.0,2.8352387
alphasynuclein,False,490000.0,3.2318261
alphasynuclein,False,500000.0,3.0700574
alphasynuclein,False,510000.0,3.8535898
alphasynuclein,False,520000.0,3.7735519
alphasynuclein,False,530000.0,3.1728895
alphasynuclein,False,540000.0,3.1373658
alphasynuclein,False,550000.0,3.3316333
alphasynuclein,False,560000.0,2.7640817
alphasynuclein,False,570000.0,2.7923567
alphasynuclein,False,580000.0,3.0665975
alphasynuclein,False,590000.0,3.5151227
alphasynuclein,False,600000.0,3.6727083
alphasynuclein,False,610000.0,3.9724772
alphasynuclein,False,620000.0,3.886025
alphasynuclein,False,630000.0,3.8102903
alphasynuclein,False,640000.0,3.7124422
